time,open,high,low,close,Volume,Volume MA
2009-10-14 17:00:00,21.6,21.6,21.16,21.2,453.0,453.0
2009-10-15 17:00:00,21.2,21.2,20.85,20.88,187.0,187.0
2009-10-18 16:00:00,20.85,21.2,20.85,21.1,97.0,97.0
2009-10-19 16:00:00,21.14,21.15,21.0,21.1,125.0,125.0
2009-10-20 16:00:00,21.21,21.32,21.1,21.23,129.0,129.0
2009-10-21 16:00:00,21.3,21.3,21.1,21.15,90.0,90.0
2009-10-22 16:00:00,21.17,21.2,21.14,21.14,71.0,71.0
2009-10-25 16:00:00,21.2,21.2,21.0,21.01,106.0,106.0
2009-10-26 16:00:00,21.05,21.05,20.75,20.8,675.0,675.0
2009-10-27 16:00:00,20.9,20.9,20.6,20.68,62.0,62.0
2009-10-28 16:00:00,20.7,21.0,20.7,20.99,209.0,209.0
2009-10-29 16:00:00,20.92,21.0,20.85,20.85,105.0,105.0
2009-11-02 16:00:00,20.9,20.9,20.8,20.8,190.0,190.0
2009-11-03 16:00:00,20.85,20.87,20.7,20.7,66.0,66.0
2009-11-04 16:00:00,20.7,20.75,20.7,20.75,175.0,175.0
2009-11-05 16:00:00,20.75,20.75,20.55,20.56,687.0,687.0
2009-11-08 16:00:00,20.55,20.55,20.55,20.55,37.0,37.0
2009-11-09 16:00:00,20.55,20.75,20.55,20.75,195.0,195.0
2009-11-10 16:00:00,20.75,20.75,20.55,20.6,85.0,85.0
2009-11-11 16:00:00,20.55,20.65,20.55,20.6,59.0,59.0
2009-11-12 16:00:00,20.55,20.55,20.52,20.55,27.0,27.0
2009-11-15 16:00:00,21.09,21.1,20.9,20.97,508.0,508.0
2009-11-16 16:00:00,20.9,21.0,20.85,20.95,492.0,492.0
2009-11-17 16:00:00,20.96,21.0,20.86,20.99,262.0,262.0
2009-11-18 16:00:00,21.0,21.0,20.3,20.39,990.0,990.0
2009-11-22 16:00:00,20.35,20.35,19.8,19.99,499.0,499.0
2009-11-23 16:00:00,19.8,20.06,19.6,19.62,912.0,912.0
2009-11-24 16:00:00,19.7,19.7,19.35,19.44,339.0,339.0
2009-11-25 16:00:00,19.45,19.9,19.45,19.79,740.0,740.0
2009-11-26 16:00:00,19.7,19.7,19.5,19.68,189.0,189.0
2009-11-29 16:00:00,19.69,19.75,19.6,19.71,356.0,356.0
2009-11-30 16:00:00,19.65,19.7,19.42,19.5,638.0,638.0
2009-12-01 16:00:00,19.5,19.69,19.45,19.64,295.0,295.0
2009-12-02 16:00:00,19.6,20.1,19.6,19.78,784.0,784.0
2009-12-03 16:00:00,19.8,19.8,19.3,19.37,508.0,508.0
2009-12-06 16:00:00,19.25,19.5,19.2,19.38,586.0,586.0
2009-12-07 16:00:00,19.36,19.5,19.31,19.5,344.0,344.0
2009-12-08 16:00:00,19.5,19.8,19.45,19.55,858.0,858.0
2009-12-09 16:00:00,19.55,19.65,19.55,19.59,826.0,826.0
2009-12-10 16:00:00,19.6,19.99,19.6,19.74,1068.0,1068.0
2009-12-13 16:00:00,19.8,19.88,19.7,19.82,337.0,337.0
2009-12-14 16:00:00,19.85,19.9,19.71,19.77,505.0,505.0
2009-12-15 16:00:00,19.85,19.85,19.75,19.76,422.0,422.0
2009-12-16 16:00:00,19.76,20.1,19.76,19.98,601.0,601.0
2009-12-17 16:00:00,19.97,20.3,19.97,20.21,905.0,905.0
2009-12-20 16:00:00,20.25,20.47,20.21,20.37,1127.0,1127.0
2009-12-21 16:00:00,20.45,20.45,20.17,20.21,708.0,708.0
2009-12-22 16:00:00,20.2,20.2,19.76,19.96,1159.0,1159.0
2009-12-27 16:00:00,19.9,20.3,19.9,20.15,592.0,592.0
2009-12-28 16:00:00,20.0,20.0,19.95,20.0,502.0,502.0
2009-12-29 16:00:00,20.0,20.09,20.0,20.05,565.0,565.0
2010-01-03 16:00:00,19.86,20.05,19.81,19.99,213.0,213.0
2010-01-04 16:00:00,20.0,20.34,20.0,20.02,249.0,249.0
2010-01-05 16:00:00,20.03,20.19,20.03,20.1,52.0,52.0
2010-01-06 16:00:00,20.1,20.1,19.9,19.97,288.0,288.0
2010-01-07 16:00:00,20.0,20.15,20.0,20.01,88.0,88.0
2010-01-10 16:00:00,20.0,20.05,20.0,20.0,5.0,5.0
2010-01-11 16:00:00,20.05,20.09,19.96,19.96,241.0,241.0
2010-01-12 16:00:00,19.9,19.9,19.61,19.62,287.0,287.0
2010-01-13 16:00:00,19.6,19.6,19.33,19.41,463.0,463.0
2010-01-14 16:00:00,18.8,18.9,18.71,18.73,377.0,377.0
2010-01-17 16:00:00,18.75,18.75,18.6,18.61,137.0,137.0
2010-01-18 16:00:00,18.6,18.7,18.55,18.64,483.0,483.0
2010-01-19 16:00:00,18.66,18.66,18.6,18.6,307.0,307.0
2010-01-20 16:00:00,18.57,18.65,18.57,18.63,275.0,275.0
2010-01-21 16:00:00,18.65,18.7,18.52,18.6,212.0,212.0
2010-01-25 16:00:00,18.65,18.65,18.35,18.41,408.0,408.0
2010-01-26 16:00:00,18.4,18.4,18.03,18.09,266.0,266.0
2010-01-27 16:00:00,18.09,18.35,18.09,18.15,458.0,458.0
2010-01-28 16:00:00,18.2,18.45,18.2,18.25,412.0,412.0
2010-01-31 16:00:00,18.21,18.25,18.1,18.18,189.0,189.0
2010-02-01 16:00:00,18.21,18.3,18.12,18.13,160.0,160.0
2010-02-02 16:00:00,18.18,18.2,18.0,18.0,751.0,751.0
2010-02-03 16:00:00,18.05,18.1,17.86,17.88,211.0,211.0
2010-02-04 16:00:00,17.85,17.85,17.7,17.74,425.0,425.0
2010-02-07 16:00:00,17.77,18.0,17.77,17.89,332.0,332.0
2010-02-08 16:00:00,18.0,18.05,17.87,17.92,643.0,643.0
2010-02-09 16:00:00,17.95,18.0,17.8,17.89,313.0,313.0
2010-02-10 16:00:00,17.89,17.89,17.75,17.82,1070.0,1070.0
2010-02-11 16:00:00,17.85,18.0,17.81,18.0,376.0,376.0
2010-02-16 16:00:00,18.1,18.1,17.75,17.9,205.0,205.0
2010-02-17 16:00:00,17.95,18.26,17.95,18.08,477.0,477.0
2010-02-18 16:00:00,18.2,18.3,18.15,18.24,399.0,399.0
2010-02-21 17:00:00,18.3,18.5,18.3,18.43,295.0,295.0
2010-02-22 17:00:00,18.45,18.5,18.3,18.38,391.0,391.0
2010-02-23 17:00:00,18.4,18.65,18.4,18.5,589.0,589.0
2010-02-24 17:00:00,18.55,18.55,18.36,18.39,484.0,484.0
2010-02-25 17:00:00,18.36,18.49,18.31,18.31,392.0,392.0
2010-02-28 17:00:00,18.31,18.45,18.3,18.41,186.0,186.0
2010-03-01 17:00:00,18.45,18.45,18.36,18.38,108.0,108.0
2010-03-02 17:00:00,18.35,18.36,18.25,18.36,162.0,162.0
2010-03-03 17:00:00,18.29,18.5,18.29,18.46,531.0,531.0
2010-03-04 17:00:00,18.55,18.6,18.45,18.5,27.0,27.0
2010-03-07 17:00:00,18.55,18.55,18.5,18.55,98.0,98.0
2010-03-08 17:00:00,18.51,18.51,18.35,18.36,208.0,208.0
2010-03-09 17:00:00,18.41,18.45,18.4,18.45,257.0,257.0
2010-03-10 17:00:00,18.42,18.54,18.42,18.51,72.0,72.0
2010-03-11 17:00:00,18.53,18.65,18.53,18.65,629.0,629.0
2010-03-14 17:00:00,18.4,18.55,18.2,18.27,356.0,356.0
2010-03-15 17:00:00,18.31,18.5,18.31,18.41,274.0,274.0
2010-03-16 17:00:00,18.4,18.4,18.25,18.39,792.0,792.0
2010-03-17 17:00:00,18.36,18.36,18.3,18.35,262.0,262.0
2010-03-18 17:00:00,18.35,18.4,18.31,18.39,341.0,341.0
2010-03-21 17:00:00,18.3,18.4,18.25,18.35,75.0,75.0
2010-03-22 17:00:00,18.41,18.55,18.41,18.49,274.0,274.0
2010-03-23 17:00:00,18.52,18.52,18.3,18.33,172.0,172.0
2010-03-24 17:00:00,18.35,18.36,18.35,18.35,32.0,32.0
2010-03-25 17:00:00,18.35,18.35,18.1,18.25,162.0,162.0
2010-03-28 17:00:00,18.27,18.41,18.27,18.33,78.0,78.0
2010-03-29 17:00:00,18.38,18.39,18.3,18.3,202.0,202.0
2010-03-30 17:00:00,18.35,18.35,18.25,18.3,565.0,565.0
2010-03-31 17:00:00,18.25,18.3,18.25,18.3,94.0,94.0
2010-04-04 17:00:00,18.3,18.4,18.25,18.4,160.0,160.0
2010-04-05 17:00:00,18.4,18.43,18.4,18.43,256.0,256.0
2010-04-06 17:00:00,18.43,18.45,18.35,18.4,144.0,144.0
2010-04-07 17:00:00,18.4,18.4,18.35,18.4,103.0,103.0
2010-04-08 17:00:00,18.39,18.4,18.39,18.4,117.0,117.0
2010-04-11 17:00:00,18.4,18.44,18.4,18.4,207.0,207.0
2010-04-12 17:00:00,18.45,18.5,18.45,18.5,140.0,140.0
2010-04-13 17:00:00,18.55,18.8,18.5,18.55,371.0,371.0
2010-04-14 17:00:00,18.49,18.5,18.48,18.5,260.0,260.0
2010-04-15 17:00:00,18.6,18.61,18.55,18.56,497.0,497.0
2010-04-18 17:00:00,18.55,18.55,18.41,18.45,300.0,300.0
2010-04-19 17:00:00,18.45,18.45,18.4,18.4,285.0,285.0
2010-04-21 17:00:00,18.4,18.5,18.4,18.45,241.0,241.0
2010-04-22 17:00:00,18.45,18.5,18.45,18.5,81.0,81.0
2010-04-25 17:00:00,18.53,18.53,18.3,18.4,299.0,299.0
2010-04-26 17:00:00,18.4,18.44,18.35,18.42,191.0,191.0
2010-04-28 17:00:00,18.4,18.4,18.4,18.4,66.0,66.0
2010-04-29 17:00:00,18.4,18.4,18.2,18.2,426.0,426.0
2010-05-02 17:00:00,18.5,18.5,18.25,18.4,238.0,238.0
2010-05-03 17:00:00,18.2,18.2,18.05,18.06,255.0,255.0
2010-05-04 17:00:00,18.2,18.29,18.2,18.2,64.0,64.0
2010-05-05 17:00:00,18.2,18.25,18.2,18.25,247.0,247.0
2010-05-06 17:00:00,18.25,18.25,18.25,18.25,38.0,38.0
2010-05-09 17:00:00,18.5,18.5,18.4,18.42,39.0,39.0
2010-05-10 17:00:00,18.41,18.41,18.41,18.41,3.0,3.0
2010-05-11 17:00:00,18.45,18.75,18.45,18.75,185.0,185.0
2010-05-12 17:00:00,18.71,18.71,18.55,18.55,279.0,279.0
2010-05-13 17:00:00,18.6,18.6,18.6,18.6,4.0,4.0
2010-05-16 17:00:00,19.6,19.6,19.6,19.6,0.0,0.0
2010-05-17 17:00:00,19.99,19.99,19.6,19.6,57.0,57.0
2010-05-18 17:00:00,19.59,19.6,19.41,19.6,61.0,61.0
2010-05-19 17:00:00,19.22,19.22,19.22,19.22,0.0,0.0
2010-05-20 17:00:00,19.22,19.6,19.22,19.6,0.0,0.0
2010-05-23 17:00:00,19.6,19.6,19.6,19.6,0.0,0.0
