time,open,high,low,close,Volume,Volume MA
2003-09-01 21:00:00,98.51,99.11,98.51,99.06,914.0,914.0
2003-09-02 21:00:00,99.08,99.4,98.57,98.81,1053.0,1053.0
2003-09-03 21:00:00,98.93,99.1,98.23,98.27,3002.0,3002.0
2003-09-04 21:00:00,98.2,98.33,97.07,97.13,3409.0,3409.0
2003-09-07 19:00:00,97.24,97.54,96.93,97.2,2410.0,2410.0
2003-09-08 21:00:00,97.38,97.38,96.21,96.43,665.0,665.0
2003-09-09 21:00:00,96.42,96.82,96.41,96.51,755.0,755.0
2003-09-10 21:00:00,97.02,97.32,96.6,96.99,3665.0,3665.0
2003-09-11 21:00:00,97.06,97.43,96.2,96.46,3525.0,3525.0
2003-09-14 19:00:00,96.56,96.71,96.35,96.39,2508.0,2508.0
2003-09-15 21:00:00,96.52,97.19,96.35,97.12,2380.0,2380.0
2003-09-16 21:00:00,97.06,97.24,96.12,96.14,3262.0,3262.0
2003-09-17 21:00:00,96.28,96.45,95.6,96.31,2517.0,2517.0
2003-09-18 21:00:00,96.28,96.3,95.13,95.34,3128.0,3128.0
2003-09-21 19:00:00,94.15,94.73,94.05,94.21,1232.0,1232.0
2003-09-22 21:00:00,94.4,94.45,93.85,94.34,1679.0,1679.0
2003-09-23 21:00:00,94.54,94.55,94.0,94.07,1497.0,1497.0
2003-09-24 21:00:00,94.11,94.23,93.72,94.14,2028.0,2028.0
2003-09-25 21:00:00,94.19,94.42,94.0,94.25,1724.0,1724.0
2003-09-28 19:00:00,94.24,94.68,93.32,93.44,5914.0,5914.0
2003-09-29 21:00:00,93.26,93.61,92.43,93.2,1548.0,1548.0
2003-09-30 21:00:00,93.11,93.12,92.66,92.7,1644.0,1644.0
2003-10-01 21:00:00,92.71,93.0,92.5,92.73,2462.0,2462.0
2003-10-02 21:00:00,92.8,93.62,92.64,93.53,1274.0,1274.0
2003-10-05 19:00:00,93.51,93.61,92.53,92.8,1278.0,1278.0
2003-10-06 21:00:00,92.63,92.71,91.9,92.18,910.0,910.0
2003-10-07 21:00:00,92.2,92.21,91.84,92.04,1956.0,1956.0
2003-10-08 21:00:00,91.91,92.68,91.63,92.33,996.0,996.0
2003-10-09 21:00:00,92.32,92.49,91.55,91.79,97.0,97.0
2003-10-12 19:00:00,92.17,92.6,92.09,92.17,2343.0,2343.0
2003-10-13 21:00:00,92.34,93.06,91.93,92.15,1223.0,1223.0
2003-10-14 21:00:00,92.09,93.09,92.09,92.72,2095.0,2095.0
2003-10-15 21:00:00,92.86,93.18,92.27,92.9,1474.0,1474.0
2003-10-16 21:00:00,92.91,93.33,92.54,92.6,1326.0,1326.0
2003-10-19 19:00:00,92.27,92.99,92.22,92.73,481.0,481.0
2003-10-20 21:00:00,92.84,92.94,92.35,92.64,4679.0,4679.0
2003-10-21 21:00:00,92.55,92.55,91.38,91.53,1699.0,1699.0
2003-10-22 21:00:00,91.48,91.9,91.35,91.68,1075.0,1075.0
2003-10-23 21:00:00,91.52,91.78,91.23,91.51,1128.0,1128.0
2003-10-26 20:00:00,91.61,91.95,91.54,91.85,2624.0,2624.0
2003-10-27 22:00:00,91.9,92.35,91.81,92.1,855.0,855.0
2003-10-28 22:00:00,92.19,92.19,91.75,92.12,3174.0,3174.0
2003-10-29 22:00:00,92.13,92.54,91.52,92.46,3283.0,3283.0
2003-10-30 22:00:00,92.46,92.99,92.4,92.88,4196.0,4196.0
2003-11-02 20:00:00,92.86,94.45,92.68,93.87,1891.0,1891.0
2003-11-03 22:00:00,93.87,93.99,93.31,93.45,953.0,953.0
2003-11-04 22:00:00,93.55,94.04,93.48,93.82,4168.0,4168.0
2003-11-05 22:00:00,93.86,94.23,93.75,94.1,2469.0,2469.0
2003-11-06 22:00:00,94.14,94.32,93.15,93.2,1226.0,1226.0
2003-11-09 20:00:00,93.32,93.45,92.92,93.17,92.0,92.0
2003-11-10 22:00:00,93.35,93.35,93.22,93.26,4769.0,4769.0
2003-11-11 22:00:00,93.17,93.18,92.16,92.42,1372.0,1372.0
2003-11-12 22:00:00,92.38,92.38,91.65,91.74,2451.0,2451.0
2003-11-13 22:00:00,91.65,91.8,91.33,91.6,4415.0,4415.0
2003-11-16 20:00:00,91.14,91.95,91.08,91.67,4462.0,4462.0
2003-11-17 22:00:00,91.82,91.82,90.4,90.41,2568.0,2568.0
2003-11-18 22:00:00,90.38,91.06,90.37,91.0,1709.0,1709.0
2003-11-19 22:00:00,90.81,90.93,90.4,90.72,5847.0,5847.0
2003-11-20 22:00:00,90.78,91.03,90.57,90.75,2227.0,2227.0
2003-11-23 20:00:00,90.74,91.78,90.7,91.73,829.0,829.0
2003-11-24 22:00:00,91.63,91.82,91.4,91.57,262.0,262.0
2003-11-25 22:00:00,91.54,91.54,90.5,90.72,1637.0,1637.0
2003-11-26 22:00:00,90.64,90.83,90.64,90.83,1482.0,1482.0
2003-11-27 22:00:00,90.61,90.63,90.13,90.28,1734.0,1734.0
2003-11-30 20:00:00,90.15,90.59,89.93,90.43,1301.0,1301.0
2003-12-01 22:00:00,90.46,90.6,89.65,89.67,788.0,788.0
2003-12-02 22:00:00,89.71,89.73,89.4,89.57,1626.0,1626.0
2003-12-03 22:00:00,89.54,90.08,89.25,89.63,4151.0,4151.0
2003-12-04 22:00:00,89.8,89.8,89.1,89.19,5187.0,5187.0
2003-12-07 20:00:00,89.23,89.23,88.69,88.75,5355.0,5355.0
2003-12-08 22:00:00,88.8,89.0,88.49,88.64,2851.0,2851.0
2003-12-09 22:00:00,89.18,89.27,88.61,88.88,1346.0,1346.0
2003-12-10 22:00:00,89.43,90.0,89.28,89.29,1944.0,1944.0
2003-12-11 22:00:00,89.3,89.34,88.8,88.87,2297.0,2297.0
2003-12-14 20:00:00,89.59,89.6,88.66,88.88,634.0,634.0
2003-12-15 22:00:00,88.84,88.92,88.55,88.74,1549.0,1549.0
2003-12-16 22:00:00,88.81,88.93,88.18,88.3,1763.0,1763.0
2003-12-17 22:00:00,88.29,88.64,88.23,88.24,674.0,674.0
2003-12-18 22:00:00,88.33,88.78,88.26,88.53,913.0,913.0
2003-12-21 20:00:00,88.54,88.6,88.15,88.39,385.0,385.0
2003-12-22 22:00:00,88.41,88.46,88.2,88.37,5213.0,5213.0
2003-12-23 22:00:00,88.3,88.35,87.78,87.89,941.0,941.0
2003-12-25 22:00:00,87.8,87.99,87.76,87.93,655.0,655.0
2003-12-28 20:00:00,88.07,88.08,87.57,87.74,2805.0,2805.0
2003-12-29 22:00:00,87.72,87.72,87.25,87.37,4154.0,4154.0
2003-12-30 22:00:00,87.27,87.54,86.7,87.26,3027.0,3027.0
2004-01-01 22:00:00,87.1,87.2,86.85,86.93,2397.0,2397.0
2004-01-04 20:00:00,86.75,86.77,86.27,86.35,2523.0,2523.0
2004-01-05 22:00:00,86.34,86.4,85.66,85.93,1746.0,1746.0
2004-01-06 22:00:00,86.19,86.59,86.13,86.52,2351.0,2351.0
2004-01-07 22:00:00,86.55,86.96,85.75,85.88,1728.0,1728.0
2004-01-08 22:00:00,85.84,86.23,85.27,85.39,1461.0,1461.0
2004-01-11 20:00:00,85.32,85.87,85.1,85.86,1875.0,1875.0
2004-01-12 22:00:00,85.94,85.99,85.53,85.78,1941.0,1941.0
2004-01-13 22:00:00,85.54,86.47,85.54,86.32,2571.0,2571.0
2004-01-14 22:00:00,86.39,86.93,86.34,86.87,106.0,106.0
2004-01-15 22:00:00,86.73,88.17,86.73,88.05,0.0,0.0
2004-01-18 20:00:00,87.94,88.32,87.93,87.93,3947.0,3947.0
2004-01-19 22:00:00,87.67,87.69,86.77,86.98,1270.0,1270.0
2004-01-20 22:00:00,86.9,86.98,86.35,86.6,2417.0,2417.0
2004-01-21 22:00:00,86.44,86.45,85.85,86.09,2604.0,2604.0
2004-01-22 22:00:00,86.05,87.05,85.76,86.85,1745.0,1745.0
2004-01-25 20:00:00,86.94,87.55,86.61,87.51,2890.0,2890.0
2004-01-26 22:00:00,87.39,87.56,86.38,86.54,2658.0,2658.0
2004-01-27 22:00:00,86.47,87.5,86.45,87.24,3138.0,3138.0
2004-01-28 22:00:00,87.63,88.07,87.14,87.82,1307.0,1307.0
2004-01-29 22:00:00,87.81,88.17,87.25,87.42,1266.0,1266.0
2004-02-01 20:00:00,87.44,87.91,87.39,87.79,2224.0,2224.0
2004-02-02 22:00:00,87.66,87.7,86.67,86.98,2062.0,2062.0
2004-02-03 22:00:00,87.04,87.3,86.92,87.02,1740.0,1740.0
2004-02-04 22:00:00,87.07,87.14,86.46,87.12,2311.0,2311.0
2004-02-05 22:00:00,86.96,87.27,86.02,86.2,962.0,962.0
2004-02-08 20:00:00,86.42,86.42,85.83,86.17,1957.0,1957.0
2004-02-09 22:00:00,86.12,86.13,85.6,86.04,2109.0,2109.0
