time,open,high,low,close,Volume,Volume MA
2003-03-30 20:00:00,5.14,5.22,4.99,5.06,22271.0,22271.0
2003-03-31 20:00:00,5.05,5.17,5.04,5.125,23649.0,23649.0
2003-04-01 20:00:00,4.99,5.11,4.9,5.065,33689.0,33689.0
2003-04-02 20:00:00,5.0,5.07,4.88,4.919,32334.0,32334.0
2003-04-03 20:00:00,4.92,4.99,4.89,4.943,16141.0,16141.0
2003-04-06 19:00:00,4.99,5.25,4.99,5.134,44752.0,44752.0
2003-04-07 19:00:00,5.16,5.205,5.08,5.108,25048.0,25048.0
2003-04-08 19:00:00,5.08,5.23,5.04,5.195,30528.0,30528.0
2003-04-09 19:00:00,5.17,5.49,5.165,5.419,45901.0,45901.0
2003-04-10 19:00:00,5.35,5.42,5.325,5.411,25537.0,25537.0
2003-04-13 19:00:00,5.37,5.62,5.36,5.552,26742.0,26742.0
2003-04-14 19:00:00,5.58,5.7,5.58,5.653,21767.0,21767.0
2003-04-15 19:00:00,5.68,5.72,5.49,5.677,36703.0,36703.0
2003-04-16 19:00:00,5.66,5.85,5.635,5.709,22579.0,22579.0
2003-04-20 19:00:00,5.702,5.82,5.62,5.713,26784.0,26784.0
2003-04-21 19:00:00,5.64,5.715,5.61,5.645,25274.0,25274.0
2003-04-22 19:00:00,5.67,5.685,5.52,5.569,31017.0,31017.0
2003-04-23 19:00:00,5.55,5.59,5.375,5.474,35613.0,35613.0
2003-04-24 19:00:00,5.46,5.5,5.445,5.477,30549.0,30549.0
2003-04-27 19:00:00,5.48,5.48,5.16,5.19,38102.0,38102.0
2003-04-28 19:00:00,5.22,5.26,5.145,5.236,28546.0,28546.0
2003-04-29 19:00:00,5.24,5.47,5.24,5.385,38825.0,38825.0
2003-04-30 19:00:00,5.36,5.39,5.25,5.267,33094.0,33094.0
2003-05-01 19:00:00,5.28,5.31,5.22,5.255,15862.0,15862.0
2003-05-04 19:00:00,5.335,5.715,5.255,5.715,48010.0,48010.0
2003-05-05 19:00:00,5.61,5.69,5.53,5.568,34892.0,34892.0
2003-05-06 19:00:00,5.49,5.68,5.46,5.66,33665.0,33665.0
2003-05-07 19:00:00,5.64,5.89,5.59,5.772,50129.0,50129.0
2003-05-08 19:00:00,5.72,5.83,5.72,5.806,30445.0,30445.0
2003-05-11 19:00:00,5.915,6.11,5.915,5.983,39088.0,39088.0
2003-05-12 19:00:00,5.989,6.34,5.94,6.308,43910.0,43910.0
2003-05-13 19:00:00,6.2,6.44,6.13,6.314,44203.0,44203.0
2003-05-14 19:00:00,6.33,6.37,6.12,6.131,39775.0,39775.0
2003-05-15 19:00:00,6.03,6.13,6.03,6.122,26632.0,26632.0
2003-05-18 19:00:00,6.085,6.43,5.98,6.015,48659.0,48659.0
2003-05-19 19:00:00,5.95,6.09,5.9,6.056,32030.0,32030.0
2003-05-20 19:00:00,6.06,6.33,6.04,6.198,40004.0,40004.0
2003-05-21 19:00:00,6.15,6.19,5.95,6.035,37520.0,37520.0
