time,open,high,low,close,Volume,Volume MA
2003-03-24 05:30:00,7.82,7.92,7.74,7.85,10908.0,10908.0
2003-03-25 05:30:00,7.88,7.92,7.68,7.69,9813.0,9813.0
2003-03-26 05:30:00,7.62,7.68,7.55,7.59,18839.0,18839.0
2003-03-27 05:30:00,7.51,7.56,7.42,7.46,13828.0,13828.0
2003-03-28 05:30:00,7.45,7.72,7.43,7.71,15405.0,15405.0
2003-03-31 05:30:00,7.71,7.71,7.52,7.68,10840.0,10840.0
2003-04-01 05:30:00,7.65,7.68,7.55,7.6,12573.0,12573.0
2003-04-02 05:30:00,7.49,7.64,7.46,7.59,10870.0,10870.0
2003-04-03 05:30:00,7.6,7.75,7.55,7.73,9817.0,9817.0
2003-04-04 05:30:00,7.72,7.8,7.62,7.66,9335.0,9335.0
2003-04-07 04:30:00,7.68,7.68,7.56,7.57,22483.0,22483.0
2003-04-08 04:30:00,7.55,7.56,7.36,7.37,16659.0,16659.0
2003-04-09 04:30:00,7.31,7.43,7.28,7.29,18678.0,18678.0
2003-04-10 04:30:00,7.33,7.35,7.18,7.2,20126.0,20126.0
2003-04-11 04:30:00,7.23,7.29,7.15,7.23,13590.0,13590.0
2003-04-14 04:30:00,7.16,7.21,7.11,7.17,21491.0,21491.0
2003-04-15 04:30:00,7.16,7.22,7.09,7.21,17003.0,17003.0
2003-04-16 04:30:00,7.28,7.4,7.22,7.39,17277.0,17277.0
2003-04-17 04:30:00,7.39,7.49,7.34,7.45,15865.0,15865.0
2003-04-21 04:30:00,7.43,7.64,7.39,7.63,0.0,0.0
2003-04-22 04:30:00,7.68,7.8,7.63,7.79,13318.0,13318.0
2003-04-23 04:30:00,7.78,7.85,7.76,7.82,13258.0,13258.0
2003-04-24 04:30:00,7.82,7.85,7.68,7.78,8609.0,8609.0
2003-04-25 04:30:00,7.78,7.87,7.78,7.85,9854.0,9854.0
2003-04-28 04:30:00,7.88,7.9,7.72,7.73,13318.0,13318.0
2003-04-29 04:30:00,7.68,7.68,7.32,7.39,0.0,0.0
2003-04-30 04:30:00,7.25,7.25,6.95,7.2,15412.0,15412.0
